feat1,bin1,lo1,hi1,feat2,bin2,lo2,hi2,class_id,n_images,n_anns,AP,AP50,AR1,AR10,AR100,MR2,AP_R50,AP50_R50,tag,med_luma,med_weber_contrast,med_wavelet_mad_db1,med_laplacian_score,med_median_h_r50_px
luma,0,23.538259696960445,61.46542353820799,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,5071,910,0.34555058171286007,0.5760526740130734,0.2828571428571428,0.4578021978021978,0.4578021978021978,0.337254617795749,0.38456559754718145,0.6320128032561907,luma_00_23.54-61.47__laplacian_score_00_1.861e+04-8.142e+04,51.3835111328125,0.9469618687227828,2.8169014084507014,64196.717382717135,126.75
luma,0,23.538259696960445,61.46542353820799,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,3410,382,0.27246888628304367,0.45603853065389416,0.29083769633507855,0.42198952879581153,0.42198952879581153,0.3908501875572574,0.3085704744661237,0.5154322074156552,luma_00_23.54-61.47__laplacian_score_01_8.142e+04-1.039e+05,56.27878318939209,0.9204266299012054,3.039288361749448,91925.39382300377,72.0
luma,0,23.538259696960445,61.46542353820799,laplacian_score,2,103855.55543060304,131317.03584251404,ALL,2412,490,0.35859547325125296,0.6537162057769643,0.2755102040816327,0.49346938775510196,0.49530612244897954,0.31476622621046324,0.38410131054140245,0.6689414237189149,luma_00_23.54-61.47__laplacian_score_02_1.039e+05-1.313e+05,56.03761975860597,0.8966040052363429,3.0392883617494495,116028.06909327509,111.0
luma,0,23.538259696960445,61.46542353820799,laplacian_score,3,131317.03584251404,352781.10049896344,ALL,2069,478,0.2930064146636189,0.5508840151054114,0.2949790794979079,0.5089958158995815,0.5119246861924686,0.3855731211175387,0.3033827457720483,0.5332041266858227,luma_00_23.54-61.47__laplacian_score_03_1.313e+05-3.528e+05,56.38451651611331,0.8761787856144799,2.816901408450706,154277.30766973496,90.0
luma,1,61.46542353820799,71.71443908081054,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,2548,1046,0.6049706381800904,0.9403338401214788,0.3765774378585086,0.679923518164436,0.679923518164436,0.03526136780277909,0.6258053236807967,0.9646137281354968,luma_01_61.47-71.71__laplacian_score_00_1.861e+04-8.142e+04,66.2868703781128,0.7802302523895882,2.8169014084506934,66943.13184752465,99.0
luma,1,61.46542353820799,71.71443908081054,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,3367,513,0.3479263612804296,0.6240027206328128,0.3532163742690059,0.5017543859649123,0.5023391812865496,0.27182387246158496,0.3643370430858826,0.6466515396130966,luma_01_61.47-71.71__laplacian_score_01_8.142e+04-1.039e+05,66.9360910430908,0.7857165107640756,3.039288361749443,93604.20565032959,96.0
luma,1,61.46542353820799,71.71443908081054,laplacian_score,2,103855.55543060304,131317.03584251404,ALL,3554,736,0.34558395085785637,0.6674063763125169,0.26358695652173914,0.4923913043478261,0.4923913043478261,0.18028717999898525,0.39657470931921485,0.7479753383593191,luma_01_61.47-71.71__laplacian_score_02_1.039e+05-1.313e+05,67.27952121353147,0.7920995859146529,3.2616753150481808,116075.53582134248,111.0
luma,1,61.46542353820799,71.71443908081054,laplacian_score,3,131317.03584251404,352781.10049896344,ALL,3493,911,0.3041293281235291,0.5933985314291637,0.2734357848518112,0.4941822173435785,0.4941822173435785,0.2835992517490073,0.353461425163245,0.66719530214135,luma_01_61.47-71.71__laplacian_score_03_1.313e+05-3.528e+05,66.88383042602541,0.7585274479224561,3.0392883617494357,148887.15912475585,80.0
luma,2,71.71443908081054,82.67803786773682,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,1963,434,0.45495814199798146,0.7376752117253661,0.4202764976958525,0.5495391705069125,0.5495391705069125,0.23471218996839313,0.4997077912105045,0.7834973546741891,luma_02_71.71-82.68__laplacian_score_00_1.861e+04-8.142e+04,76.5966258529663,0.7117896764146392,2.816901408450704,71328.38708028794,79.0
luma,2,71.71443908081054,82.67803786773682,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,2942,446,0.44013959555965765,0.7168197160416907,0.3641255605381166,0.5551569506726458,0.5551569506726458,0.1398418348198097,0.5256283011697087,0.8112282521426125,luma_02_71.71-82.68__laplacian_score_01_8.142e+04-1.039e+05,76.65082213973997,0.7110393353970779,3.039288361749442,92827.93615837098,77.0
luma,2,71.71443908081054,82.67803786773682,laplacian_score,2,103855.55543060304,131317.03584251404,ALL,3934,579,0.32307498141145014,0.6038340365529855,0.31347150259067363,0.48065630397236614,0.4810017271157167,0.24549796685533448,0.374767517285389,0.6792906403990836,luma_02_71.71-82.68__laplacian_score_02_1.039e+05-1.313e+05,76.37381922531128,0.7135775789136545,3.067086730911795,117654.92651815416,87.25
luma,2,71.71443908081054,82.67803786773682,laplacian_score,3,131317.03584251404,352781.10049896344,ALL,4122,748,0.36737268426749753,0.6998179282600869,0.3486631016042781,0.4922459893048128,0.49237967914438496,0.20391626791041279,0.41600992005231274,0.7763466431006458,luma_02_71.71-82.68__laplacian_score_03_1.313e+05-3.528e+05,76.4347015357971,0.686120024657118,3.0392883617494357,153097.50737600325,90.5
luma,3,82.67803786773682,140.77163901467188,laplacian_score,0,18611.405125427245,81416.23006887436,ALL,3380,589,0.3429600950638538,0.5918407281264099,0.32088285229202035,0.45195246179966053,0.45280135823429546,0.29364981654490285,0.4120923969654641,0.6945796240912677,luma_03_82.68-140.8__laplacian_score_00_1.861e+04-8.142e+04,94.4564178794861,0.5239797397278124,2.8169014084507022,67934.27170710562,70.5
luma,3,82.67803786773682,140.77163901467188,laplacian_score,1,81416.23006887436,103855.55543060304,ALL,3243,561,0.3539190913048111,0.5989112908219444,0.30320855614973263,0.45294117647058824,0.45294117647058824,0.27405101276672517,0.4413223018778928,0.7082264662469875,luma_03_82.68-140.8__laplacian_score_01_8.142e+04-1.039e+05,90.3058491775513,0.590595635733058,3.2616753150481816,92269.08114891053,78.0
