feature,edges
luma,26.1538 63.9617 76.5321 88.9343 143.077
rms_contrast,0.294257 0.571915 0.663576 0.779309 1.68543
laplacian_score,21980.9 86528.4 109777 134721 287922
wavelet_mad_db1,0.963677 2.298 2.8169 3.26168 7.80208
