,luma,weber_contrast,laplacian_score,wavelet_mad_db1
luma,1.0,-0.7681931746974098,0.17259922644964087,-0.035002352410033924
weber_contrast,-0.7681931746974098,1.0,-0.11008933857760622,0.19536363357695508
laplacian_score,0.17259922644964087,-0.11008933857760622,1.0,0.16894537987258476
wavelet_mad_db1,-0.035002352410033924,0.19536363357695508,0.16894537987258476,1.0
