split,feature,count,missing,mean,std,min,p05,p25,p50,p75,p95,max,iqr,skew,kurtosis
train_mixed,luma,36044,0,77.01764011045753,17.946142822586175,26.153832414245603,49.043466217041,63.961728981399546,76.53207685623167,88.93428023681636,108.32619770698551,143.07719196166994,24.972551255416818,0.2533440668025567,-0.26529512405762246
train_mixed,rms_contrast,36044,0,0.6916711053780439,0.16389050274248712,0.2942565883709959,0.4787734313734509,0.5719149561404998,0.6635757304545216,0.7793094439845097,1.0125212539421393,1.6854343125773774,0.20739448784400993,0.9399246697742721,1.3954255172192682
train_mixed,laplacian_score,36044,0,112129.96450711641,35905.23304706215,21980.93854827881,56435.25008996487,86528.4476856947,109776.75100631715,134721.0188809395,175781.10144694804,287921.793548584,48192.57119524479,0.4187836992266321,0.14920503137904229
train_mixed,wavelet_mad_db1,36044,0,2.7909717400008347,0.7019871887236382,0.9636767976278774,1.7420311341734631,2.297998517420317,2.8169014084507022,3.2616753150481754,3.9010378057820567,7.802075611564126,0.9636767976278584,1.1902648346234799,4.982605431568681
val_internal,luma,12462,0,77.28824225853712,18.779274872423397,28.561548580932623,47.91214949394227,63.46611745529174,76.38502884902954,90.38065647888189,109.62375799453726,147.5361634506226,26.91453902359015,0.24165027904887704,-0.3599055634976036
val_internal,rms_contrast,12462,0,0.7234150097879887,0.17250522844097668,0.277062911226212,0.48994409638283865,0.591447566551315,0.6980478528885478,0.8340393165627533,1.0424477056135697,1.6369512526268135,0.2425917500114383,0.6610573181221987,0.33752680589600725
val_internal,laplacian_score,12462,0,108788.75621799157,36152.639861203825,21652.620318222045,54225.459762268074,82859.7966082573,106224.10264005662,131170.10481708052,172873.779974308,287264.41010046005,48310.30820882322,0.5488384438074216,0.4856062436472537
val_internal,wavelet_mad_db1,12462,0,2.8742023639187075,0.6451142495963867,0.9636767976278791,1.8532246108228319,2.5203854707190487,2.8169014084507085,3.2616753150481834,3.9288361749444007,8.20051890289103,0.7412898443291347,0.731524409307824,3.631237575132069
test_all,luma,51848,0,72.34573217713663,15.964592478445098,23.538259696960445,47.1545712903595,61.465292111968985,71.71433880615234,82.67812744178772,100.19509961997983,140.7716390136719,21.212835329818738,0.2254357932317359,0.19183967274227953
test_all,rms_contrast,51848,0,0.7722488165294856,0.19164697848012027,0.34890252654672693,0.4990807866092915,0.646267252406344,0.749065347086781,0.8726711412926001,1.109776376315278,1.7559677562808498,0.22640388888625618,0.9850459459827305,1.9050266707401717
test_all,laplacian_score,51848,0,108245.99710816378,36971.97140831144,18611.405125427245,56150.6884642601,81415.97266397477,103855.28704295159,131317.42313880922,173476.4920202446,352781.10049896245,49901.45047483445,0.7113725903313268,1.1361875363001022
test_all,wavelet_mad_db1,51848,0,3.1195500227099373,0.9479677532749519,1.186063750926614,1.8532246108228345,2.520385470719054,3.039288361749443,3.4840622683469284,4.670126019273537,9.590437361008162,0.9636767976278744,1.5106219522332236,4.779448664412467
