epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2275.33,1.00864,0.52032,0.92322,0.92531,0.94658,0.96644,0.70124,0.64122,0.53694,0.57842,0.00307,0.00307,0.00307
44,3035.22,1.00096,0.51613,0.92018,0.92665,0.94679,0.9662,0.70112,0.64032,0.53155,0.57797,0.002905,0.002905,0.002905
45,3794.33,0.99631,0.51167,0.92005,0.92657,0.94823,0.96599,0.7017,0.63899,0.52618,0.5775,0.00274,0.00274,0.00274
46,4553.08,0.99307,0.50756,0.91521,0.92761,0.94814,0.96605,0.70429,0.63772,0.5213,0.57695,0.002575,0.002575,0.002575
47,5312.47,0.98353,0.50167,0.91388,0.9294,0.94809,0.96677,0.70457,0.63639,0.51451,0.57645,0.00241,0.00241,0.00241
48,6071.14,0.9727,0.49301,0.91139,0.92564,0.9442,0.96692,0.707,0.63546,0.50719,0.57595,0.002245,0.002245,0.002245
49,6831.14,0.96449,0.48924,0.90883,0.92503,0.94479,0.96745,0.70989,0.63376,0.50195,0.57548,0.00208,0.00208,0.00208
50,7591.04,0.9556,0.48235,0.90643,0.92321,0.94582,0.96795,0.71108,0.6328,0.49628,0.57507,0.001915,0.001915,0.001915
51,8364.04,0.95356,0.47768,0.90516,0.92166,0.94981,0.96809,0.71235,0.63125,0.48946,0.57474,0.00175,0.00175,0.00175
52,9122.35,0.93738,0.46846,0.90131,0.92216,0.95018,0.96822,0.71234,0.62974,0.48284,0.57411,0.001585,0.001585,0.001585
53,9881.78,0.92916,0.46418,0.89852,0.92158,0.95428,0.96843,0.71263,0.62827,0.47768,0.5736,0.00142,0.00142,0.00142
54,10640,0.91687,0.45733,0.89683,0.92292,0.95195,0.96898,0.71566,0.62712,0.47005,0.57291,0.001255,0.001255,0.001255
55,11398.3,0.90999,0.45217,0.89379,0.9316,0.9488,0.96968,0.71517,0.62559,0.4627,0.5723,0.00109,0.00109,0.00109
56,12155.6,0.90118,0.44414,0.89228,0.93273,0.94885,0.96972,0.71676,0.62394,0.45549,0.57178,0.000925,0.000925,0.000925
57,12912.8,0.89017,0.43849,0.88818,0.93465,0.95027,0.97028,0.71745,0.62188,0.44782,0.57117,0.00076,0.00076,0.00076
58,13671,0.87964,0.43115,0.88458,0.93392,0.94994,0.97043,0.71872,0.61998,0.44055,0.57066,0.000595,0.000595,0.000595
59,14429.8,0.86967,0.42667,0.88259,0.9358,0.94988,0.97132,0.71978,0.6186,0.43372,0.57033,0.00043,0.00043,0.00043
60,15187.7,0.86141,0.42128,0.88043,0.93631,0.95142,0.97127,0.72229,0.61698,0.42705,0.56981,0.000265,0.000265,0.000265
