epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,33107.8,0.99631,0.51797,0.91002,0.94129,0.94193,0.96561,0.70947,0.63993,0.51849,0.57368,0.00307,0.00307,0.00307
44,33872.9,0.98984,0.5099,0.90809,0.94366,0.94222,0.96591,0.70976,0.63839,0.50935,0.57313,0.002905,0.002905,0.002905
45,34628.6,0.98094,0.50264,0.9054,0.9451,0.94201,0.96615,0.70924,0.63662,0.50043,0.57277,0.00274,0.00274,0.00274
46,35407.3,0.96923,0.49705,0.90203,0.94604,0.94205,0.9662,0.7082,0.63448,0.49162,0.57213,0.002575,0.002575,0.002575
47,36164.9,0.96103,0.49118,0.89981,0.94666,0.94283,0.96672,0.71016,0.63253,0.48232,0.5714,0.00241,0.00241,0.00241
48,36921.5,0.95195,0.4828,0.8975,0.94757,0.94264,0.96708,0.71267,0.63058,0.47233,0.57064,0.002245,0.002245,0.002245
49,37679.4,0.9396,0.47599,0.89374,0.94815,0.9433,0.96748,0.71524,0.62839,0.46266,0.57008,0.00208,0.00208,0.00208
50,38433.1,0.9306,0.47006,0.89167,0.94973,0.94334,0.96783,0.71644,0.62702,0.45209,0.5695,0.001915,0.001915,0.001915
51,39234.2,0.9217,0.46426,0.88958,0.95073,0.94448,0.96895,0.71862,0.62484,0.44298,0.56879,0.00175,0.00175,0.00175
52,40117.6,0.91088,0.45835,0.88537,0.95138,0.94514,0.96929,0.71967,0.62318,0.43518,0.56821,0.001585,0.001585,0.001585
53,40897.3,0.90159,0.45068,0.88466,0.95285,0.94503,0.96975,0.72293,0.62099,0.42734,0.56753,0.00142,0.00142,0.00142
54,41671.7,0.88831,0.44251,0.88044,0.95208,0.94689,0.97006,0.72342,0.61892,0.41951,0.56704,0.001255,0.001255,0.001255
55,42454.8,0.88018,0.43649,0.87952,0.95199,0.94824,0.9705,0.72462,0.61711,0.4126,0.56642,0.00109,0.00109,0.00109
56,43272,0.86775,0.43065,0.87679,0.95182,0.95115,0.97145,0.72642,0.61536,0.40657,0.56592,0.000925,0.000925,0.000925
57,44038,0.85642,0.42485,0.87293,0.9513,0.95255,0.97171,0.72902,0.6138,0.40073,0.56548,0.00076,0.00076,0.00076
58,44804.9,0.84777,0.41907,0.87153,0.95158,0.95244,0.97198,0.72917,0.61247,0.39467,0.56514,0.000595,0.000595,0.000595
59,45594,0.84014,0.41364,0.87,0.94855,0.95308,0.9724,0.73199,0.61082,0.38777,0.56466,0.00043,0.00043,0.00043
60,46375.5,0.83461,0.40904,0.86805,0.94913,0.95202,0.97283,0.73404,0.60909,0.38249,0.56418,0.000265,0.000265,0.000265
